N,Convenio,Cargo,Condicion especial,Tasa Con Seguro,Tasa Sin Seguro,Antiguedad de servidor (Años),Buró,Edad máxima al finalizar el crédito (Años),"RCI boleta
(Descuento máximo)","Endeudamiento máximo 
(- 60 años)","Endeudamiento máximo 
(+ 60 años)",Provisión,% Ingreso variable,Condición Endeudamiento,Fecha de corte ,Fecha de pago,Cuotas máximas (meses),Periodo de gracia,"Boletas 
(Ingresos Fijos)","Boletas 
(Ingresos variables)",Desfase max de la última boleta,Comentario Boleta,Consideraciones generales,Condiciones Específicas
1,AIS Hospital Daniel Alcides Carrión,Nombrados,No aplica,"G1 - G3: 10.69%
G4 - G5: 10.89%
G6 - OTROS: 11.19%","G1 - G3: 11.07%
G4 - G5: 11.27%
G6 - OTROS: 11.57%",0.5,NB - G5,65,0.5,0.6,0.55,0,0.85,,25,17,72,1,1 boleta,3 boletas,1,Prueba correo,"* El Cliente no debe de tener préstamos judiciales ni préstamos refinanciados en BBVA y Sistema Financiero.
* No se aceptarán voucher de cancelación de deudas cuyo descuento sea a través de la planilla, se deberá sustentar con boleta de pago.
* Buró: Cliente PEP es de NB a G5
* Para Ampliaciones mínimo 1 cuota pagada y para Renovaciones mínimo 2 cuotas pagadas
* Importe mínimo S/1.000 y máximo S/150.000 - Para personal Nombrado (DL276), cuyo financiamiento tenga vencimiento antes quecumpla los 65 años, se podrá atender hasta por el importe máximo de S/200,000 (Aplica según buró del Convenio y se exceptúa Fuerzas Armadas).
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
*En el caso de subrogación de Bancos ya no será necesario presentar los cronogramas si las deudas están descontadas en boleta, se sustenta la deuda con el reporte de SBS.","
* Categoría: B
* Vigencia remesa: Durante el mes que se aprueba
* Validación de antigüedad: Para el caso de “CAS INDETERMIN./CAS ADMINISTRAT” Y “CAS INDETERMIN./CAS ASISTENCIAL”, cuando la institución coloque la fecha de ingreso en la respuesta de remesa prevalece esta, en caso no coloque comentarios se toma la fecha de ingreso de la boleta. (Diapositiva 16: ejem comentario)
* Se condidera ingresos CAFAE/SUBCAFAE: Sí (Solo % endeudamiento)
* Caso subrogación Caja: En caso de clientes con prestamos en CAJAS MUNICIPALES, no será necesario solicitar cronograma, SIEMPRE QUE: - El descuento de la entidad figure en la boleta de pago. - Se deberá adjuntar al expediente el correo de evidencia del JDN o JDR, el cual incluya el print del 3270 que validen la deuda del cliente en la respectiva caja 
* Antiguedad de Servidor: 0,5 años
* [INFO ADICIONAL]
* Rango Buró permitido: NB - G5
* Edad máxima al finalizar crédito: 65 años
* Endeudamiento máximo (-60años): 60%
* Endeudamiento máximo (+60años): 55,%
* Carretera 1
* RUC: 20194048034
* Código Nuevo: ADC1
* Código Subrogado: ADC2
* Código Nuevo (Sin seguro): ADC5
* Código Subrogado (Sin seguro): ADC6"
2,AIS Hospital Daniel Alcides Carrión,CAS,No aplica,"G1 - G3: 10.69%
G4 - G5: 10.89%
G6 - OTROS: 11.19%","G1 - G3: 11.07%
G4 - G5: 11.27%
G6 - OTROS: 11.57%",5,NB - G5,65,0.5,0.6,0.55,0,0.85,,25,17,72,1,1 boleta,3 boletas,1,Prueba correo,"* El Cliente no debe de tener préstamos judiciales ni préstamos refinanciados en BBVA y Sistema Financiero.
* No se aceptarán voucher de cancelación de deudas cuyo descuento sea a través de la planilla, se deberá sustentar con boleta de pago.
* Buró: Cliente PEP es de NB a G5
* Para Ampliaciones mínimo 1 cuota pagada y para Renovaciones mínimo 2 cuotas pagadas
* Importe mínimo S/1.000 y máximo S/150.000 - Para personal Nombrado (DL276), cuyo financiamiento tenga vencimiento antes quecumpla los 65 años, se podrá atender hasta por el importe máximo de S/200,000 (Aplica según buró del Convenio y se exceptúa Fuerzas Armadas).
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
*En el caso de subrogación de Bancos ya no será necesario presentar los cronogramas si las deudas están descontadas en boleta, se sustenta la deuda con el reporte de SBS.","
* Categoría: B
* Vigencia remesa: Durante el mes que se aprueba
* Validación de antigüedad: Para el caso de “CAS INDETERMIN./CAS ADMINISTRAT” Y “CAS INDETERMIN./CAS ASISTENCIAL”, cuando la institución coloque la fecha de ingreso en la respuesta de remesa prevalece esta, en caso no coloque comentarios se toma la fecha de ingreso de la boleta. (Diapositiva 16: ejem comentario)
* Se condidera ingresos CAFAE/SUBCAFAE: Sí (Solo % endeudamiento)
* Caso subrogación Caja: En caso de clientes con prestamos en CAJAS MUNICIPALES, no será necesario solicitar cronograma, SIEMPRE QUE: - El descuento de la entidad figure en la boleta de pago. - Se deberá adjuntar al expediente el correo de evidencia del JDN o JDR, el cual incluya el print del 3270 que validen la deuda del cliente en la respectiva caja 
* Antiguedad de Servidor: 5 años
* [INFO ADICIONAL]
* Rango Buró permitido: NB - G5
* Edad máxima al finalizar crédito: 65 años
* Endeudamiento máximo (-60años): 60%
* Endeudamiento máximo (+60años): 55,%
* Carretera 1
* RUC: 20194048034
* Código Nuevo: ADC3
* Código Subrogado: ADC4
* Código Nuevo (Sin seguro): ADC7
* Código Subrogado (Sin seguro): ADC8"
3,Autoridad Nacional del Agua,Nombrados Ley 728 ,No aplica,"G1 - G3: 10.70%
G4 - G5: 10.90%
G6 - OTROS: 11.30%","G1 - G3: 11.08%
G4 - G5: 11.28%
G6 - OTROS: 11.68%",0.5,NB - G6,70,0.5,0.65,0.55,0,0.85,,30,15,72,1,1 boleta,1 boleta,1,,"* El Cliente no debe de tener préstamos judiciales ni préstamos refinanciados en BBVA y Sistema Financiero.
* No se aceptarán voucher de cancelación de deudas cuyo descuento sea a través de la planilla, se deberá sustentar con boleta de pago.
* Buró: Cliente PEP es de NB a G5
* Para Ampliaciones mínimo 1 cuota pagada y para Renovaciones mínimo 2 cuotas pagadas
* Importe mínimo S/1.000 y máximo S/150.000 - Para personal Nombrado (DL276) que presenten buró G1 a G4, cuyo financiamiento tenga vencimiento antes que cumpla los 65 años, se podrá atender hasta por el importe máximo de S/ 200,000 (Se exceptúa Fuerzas Armadas)
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
*En el caso de subrogación de Bancos ya no será necesario presentar los cronogramas si las deudas están descontadas en boleta, se sustenta la deuda con el reporte de SBS.","
* Categoría: A
* Vigencia remesa: Durante el mes que se aprueba
* Se condidera ingresos CAFAE/SUBCAFAE: No aplica
* Caso subrogación Caja: En caso de clientes con prestamos en CAJAS MUNICIPALES, no será necesario solicitar cronograma, SIEMPRE QUE: - El descuento de la entidad figure en la boleta de pago. - Se deberá adjuntar al expediente el correo de evidencia del JDN o JDR, el cual incluya el print del 3270 que validen la deuda del cliente en la respectiva caja 
* Antiguedad de Servidor: 0,5 años
* [INFO ADICIONAL]
* Rango Buró permitido: NB - G6
* Edad máxima al finalizar crédito: 70 años
* Endeudamiento máximo (-60años): 65%
* Endeudamiento máximo (+60años): 55,%
* Carretera 1
* RUC: 20520711865
* Código Nuevo: ANA1
* Código Subrogado: ANA2
* Código Nuevo (Sin seguro): ANA5
* Código Subrogado (Sin seguro): ANA6"
4,Autoridad Nacional del Agua,CAS,No aplica,"G1 - G3: 10.70%
G4 - G5: 10.90%
G6 - OTROS: 11.30%","G1 - G3: 11.08%
G4 - G5: 11.28%
G6 - OTROS: 11.68%",5,NB - G6,65,0.4,0.65,0.55,0,0.85,,30,15,72,1,1 boleta,1 boleta,1,,"* El Cliente no debe de tener préstamos judiciales ni préstamos refinanciados en BBVA y Sistema Financiero.
* No se aceptarán voucher de cancelación de deudas cuyo descuento sea a través de la planilla, se deberá sustentar con boleta de pago.
* Buró: Cliente PEP es de NB a G5
* Para Ampliaciones mínimo 1 cuota pagada y para Renovaciones mínimo 2 cuotas pagadas
* Importe mínimo S/1.000 y máximo S/150.000 - Para personal Nombrado (DL276) que presenten buró G1 a G4, cuyo financiamiento tenga vencimiento antes que cumpla los 65 años, se podrá atender hasta por el importe máximo de S/ 200,000 (Se exceptúa Fuerzas Armadas)
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
*En el caso de subrogación de Bancos ya no será necesario presentar los cronogramas si las deudas están descontadas en boleta, se sustenta la deuda con el reporte de SBS.","
* Categoría: A
* Vigencia remesa: Durante el mes que se aprueba
* Se condidera ingresos CAFAE/SUBCAFAE: No aplica
* Caso subrogación Caja: En caso de clientes con prestamos en CAJAS MUNICIPALES, no será necesario solicitar cronograma, SIEMPRE QUE: - El descuento de la entidad figure en la boleta de pago. - Se deberá adjuntar al expediente el correo de evidencia del JDN o JDR, el cual incluya el print del 3270 que validen la deuda del cliente en la respectiva caja 
* Antiguedad de Servidor: 5 años
* [INFO ADICIONAL]
* Rango Buró permitido: NB - G6
* Edad máxima al finalizar crédito: 65 años
* Endeudamiento máximo (-60años): 65%
* Endeudamiento máximo (+60años): 55,%
* Carretera 1
* RUC: 20520711865
* Código Nuevo: ANA3
* Código Subrogado: ANA4
* Código Nuevo (Sin seguro): ANA7 
* Código Subrogado (Sin seguro): ANA8"
5,Cafae de la Universidad Nacional de Trujillo,Nombrado - Docentes,No aplica,"G1 - G3: 10.80%
G4 - G5: 11.00%
G6 - OTROS: 11.40%","G1 - G3: 11.18%
G4 - G5: 11.38%
G6 - OTROS: 11.78%",0.5,NB - G6,75,0.5,0.65,0.55,0,0.85,,20,17,72,1,1 boleta,3 boletas,2,"Los  nombrados a tiempo parcial (TP)  solo cuentan con boleta de remuneraciones (no perciben Cafae, ni estímulo)","* El Cliente no debe de tener préstamos judiciales ni préstamos refinanciados en BBVA y Sistema Financiero.
* No se aceptarán voucher de cancelación de deudas cuyo descuento sea a través de la planilla, se deberá sustentar con boleta de pago.
* Buró: Cliente PEP es de NB a G5
* Para Ampliaciones mínimo 1 cuota pagada y para Renovaciones mínimo 2 cuotas pagadas
* Importe mínimo S/1.000 y máximo S/150.000 - Para personal Nombrado (DL276), cuyo financiamiento tenga vencimiento antes quecumpla los 65 años, se podrá atender hasta por el importe máximo de S/200,000 (Aplica según buró del Convenio y se exceptúa Fuerzas Armadas).
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
*En el caso de subrogación de Bancos ya no será necesario presentar los cronogramas si las deudas están descontadas en boleta, se sustenta la deuda con el reporte de SBS.","
* Categoría: A
* Vigencia remesa: 30 días desde su aprobación
* Se condidera ingresos CAFAE/SUBCAFAE: Sí (Cuota y % endeudamiento)
* Comentario ingresos CAFAE/SUBCAFAE: Se considera el reporte de remuneraciones para verificar los pagos de estímulo mensual (Como ingreso adicional, cuando el cliente no califique)
* Caso subrogación Caja: En caso de clientes con prestamos en CAJAS MUNICIPALES, no será necesario solicitar cronograma, SIEMPRE QUE: - El descuento de la entidad figure en la boleta de pago. - Se deberá adjuntar al expediente el correo de evidencia del JDN o JDR, el cual incluya el print del 3270 que validen la deuda del cliente en la respectiva caja 
* Caso boletas con vacaciones o ingresos extraordinarios: No contaremos con boletas con ingresos extraordinarios.
* Los  CAS y nombrados a tiempo parcial (TP)  solo cuentan con boleta de remuneraciones (no perciben Cafae, ni estímulo)
* Para los trabajadores Administrativos se considerará el ingreso de boleta adicional de CAFAE, esta será considerada en la calculadora en el rubro “Ingreso de boleta adicional”. El personal de salud de la universidad es considerado personal Administrativo.
* En personal Administrativo tenemos ( Administrativos, Técnicos, profesionales, funcionarios)
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
* Para el caso de las Cooperativas San Jorge, Famensalud, Credicop y Cooperativa Tahuantinsuyo, el importe de cuota de socio aparece en la boleta junto con la cuota de préstamo, para estos casos se tomará la diferencia entre la boleta y el cronograma como un descuento facultativo (Importe máximo de diferencia S/ 50, caso contrario se presentará evidencia).
* Antiguedad de Servidor: 0,5 años
* [INFO ADICIONAL]
* Rango Buró permitido: NB - G6
* Edad máxima al finalizar crédito: 75 años
* Endeudamiento máximo (-60años): 65%
* Endeudamiento máximo (+60años): 55,%
* Carretera 1
* RUC: 20481144079
* Código Nuevo: JT01
* Código Subrogado: JT02
* Código Nuevo (Sin seguro): JT05
* Código Subrogado (Sin seguro): JT06"
6,Cafae de la Universidad Nacional de Trujillo,CAS,No aplica,"G1 - G3: 10.80%
G4 - G5: 11.00%
G6 - OTROS: 11.40%","G1 - G3: 11.18%
G4 - G5: 11.38%
G6 - OTROS: 11.78%",5,NB - G6,65,0.45,0.65,0.55,0,0.85,,20,17,72,1,1 boleta,3 boletas,2,"Los  nombrados a tiempo parcial (TP)  solo cuentan con boleta de remuneraciones (no perciben Cafae, ni estímulo)","* El Cliente no debe de tener préstamos judiciales ni préstamos refinanciados en BBVA y Sistema Financiero.
* No se aceptarán voucher de cancelación de deudas cuyo descuento sea a través de la planilla, se deberá sustentar con boleta de pago.
* Buró: Cliente PEP es de NB a G5
* Para Ampliaciones mínimo 1 cuota pagada y para Renovaciones mínimo 2 cuotas pagadas
* Importe mínimo S/1.000 y máximo S/150.000 - Para personal Nombrado (DL276), cuyo financiamiento tenga vencimiento antes quecumpla los 65 años, se podrá atender hasta por el importe máximo de S/200,000 (Aplica según buró del Convenio y se exceptúa Fuerzas Armadas).
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
*En el caso de subrogación de Bancos ya no será necesario presentar los cronogramas si las deudas están descontadas en boleta, se sustenta la deuda con el reporte de SBS.","
* Categoría: A
* Vigencia remesa: 30 días desde su aprobación
* Se condidera ingresos CAFAE/SUBCAFAE: Sí (Cuota y % endeudamiento)
* Comentario ingresos CAFAE/SUBCAFAE: Se considera el reporte de remuneraciones para verificar los pagos de estímulo mensual (Como ingreso adicional, cuando el cliente no califique)
* Caso subrogación Caja: En caso de clientes con prestamos en CAJAS MUNICIPALES, no será necesario solicitar cronograma, SIEMPRE QUE: - El descuento de la entidad figure en la boleta de pago. - Se deberá adjuntar al expediente el correo de evidencia del JDN o JDR, el cual incluya el print del 3270 que validen la deuda del cliente en la respectiva caja 
* Caso boletas con vacaciones o ingresos extraordinarios: No contaremos con boletas con ingresos extraordinarios.
* Los  CAS y nombrados a tiempo parcial (TP)  solo cuentan con boleta de remuneraciones (no perciben Cafae, ni estímulo)
* Para los trabajadores Administrativos se considerará el ingreso de boleta adicional de CAFAE, esta será considerada en la calculadora en el rubro “Ingreso de boleta adicional”. El personal de salud de la universidad es considerado personal Administrativo.
* En personal Administrativo tenemos ( Administrativos, Técnicos, profesionales, funcionarios)
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
* Para el caso de las Cooperativas San Jorge, Famensalud, Credicop y Cooperativa Tahuantinsuyo, el importe de cuota de socio aparece en la boleta junto con la cuota de préstamo, para estos casos se tomará la diferencia entre la boleta y el cronograma como un descuento facultativo (Importe máximo de diferencia S/ 50, caso contrario se presentará evidencia).
* Antiguedad de Servidor: 5 años
* [INFO ADICIONAL]
* Rango Buró permitido: NB - G6
* Edad máxima al finalizar crédito: 65 años
* Endeudamiento máximo (-60años): 65%
* Endeudamiento máximo (+60años): 55,%
* Carretera 1
* RUC: 20481144079
* Código Nuevo: JT03
* Código Subrogado: JT04
* Código Nuevo (Sin seguro): JT07
* Código Subrogado (Sin seguro): JT08"
7,Cafae de la Universidad Nacional de Trujillo,Nombrado - Administrativos,No aplica,"G1 - G3: 10.80%
G4 - G5: 11.00%
G6 - OTROS: 11.40%","G1 - G3: 11.18%
G4 - G5: 11.38%
G6 - OTROS: 11.78%",0.5,NB - G6,70,0.5,0.65,0.55,0,0.85,,20,17,72,1,1 boleta,3 boletas,2,"Los  nombrados a tiempo parcial (TP)  solo cuentan con boleta de remuneraciones (no perciben Cafae, ni estímulo)","* El Cliente no debe de tener préstamos judiciales ni préstamos refinanciados en BBVA y Sistema Financiero.
* No se aceptarán voucher de cancelación de deudas cuyo descuento sea a través de la planilla, se deberá sustentar con boleta de pago.
* Buró: Cliente PEP es de NB a G5
* Para Ampliaciones mínimo 1 cuota pagada y para Renovaciones mínimo 2 cuotas pagadas
* Importe mínimo S/1.000 y máximo S/150.000 - Para personal Nombrado (DL276), cuyo financiamiento tenga vencimiento antes quecumpla los 65 años, se podrá atender hasta por el importe máximo de S/200,000 (Aplica según buró del Convenio y se exceptúa Fuerzas Armadas).
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
*En el caso de subrogación de Bancos ya no será necesario presentar los cronogramas si las deudas están descontadas en boleta, se sustenta la deuda con el reporte de SBS.","
* Categoría: A
* Vigencia remesa: 30 días desde su aprobación
* Se condidera ingresos CAFAE/SUBCAFAE: Sí (Cuota y % endeudamiento)
* Comentario ingresos CAFAE/SUBCAFAE: Se considera el reporte de remuneraciones para verificar los pagos de estímulo mensual (Como ingreso adicional, cuando el cliente no califique)
* Caso subrogación Caja: En caso de clientes con prestamos en CAJAS MUNICIPALES, no será necesario solicitar cronograma, SIEMPRE QUE: - El descuento de la entidad figure en la boleta de pago. - Se deberá adjuntar al expediente el correo de evidencia del JDN o JDR, el cual incluya el print del 3270 que validen la deuda del cliente en la respectiva caja 
* Caso boletas con vacaciones o ingresos extraordinarios: No contaremos con boletas con ingresos extraordinarios.
* Los  CAS y nombrados a tiempo parcial (TP)  solo cuentan con boleta de remuneraciones (no perciben Cafae, ni estímulo)
* Para los trabajadores Administrativos se considerará el ingreso de boleta adicional de CAFAE, esta será considerada en la calculadora en el rubro “Ingreso de boleta adicional”. El personal de salud de la universidad es considerado personal Administrativo.
* En personal Administrativo tenemos ( Administrativos, Técnicos, profesionales, funcionarios)
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
* Para el caso de las Cooperativas San Jorge, Famensalud, Credicop y Cooperativa Tahuantinsuyo, el importe de cuota de socio aparece en la boleta junto con la cuota de préstamo, para estos casos se tomará la diferencia entre la boleta y el cronograma como un descuento facultativo (Importe máximo de diferencia S/ 50, caso contrario se presentará evidencia).
* Antiguedad de Servidor: 0,5 años
* [INFO ADICIONAL]
* Rango Buró permitido: NB - G6
* Edad máxima al finalizar crédito: 70 años
* Endeudamiento máximo (-60años): 65%
* Endeudamiento máximo (+60años): 55,%
* Carretera 1
* RUC: 20481144079
* Código Nuevo: JT01
* Código Subrogado: JT02
* Código Nuevo (Sin seguro): JT05
* Código Subrogado (Sin seguro): JT06"
8,CAFAE SUB REGION DE EDUCACION CUTERVO,"Nombrados (Docente, Auxiliar y Administrativo)",No aplica,"G1 - G3: 11.00%
G4 - G5: 11.20%
G6 - OTROS: 11.60%","G1 - G3: 11.20%
G4 - G5: 11.40%
G6 - OTROS: 11.80%",0.5,NB - G5,65,0.5,0.6,0.55,350,0.85,,20,15,72,1,1 boleta,3 boletas,2,El concepto CAFAE en la boleta corresponde al descuento BBVA.,"* El Cliente no debe de tener préstamos judiciales ni préstamos refinanciados en BBVA y Sistema Financiero.
* No se aceptarán voucher de cancelación de deudas cuyo descuento sea a través de la planilla, se deberá sustentar con boleta de pago.
* Buró: Cliente PEP es de NB a G5
* Para Ampliaciones mínimo 1 cuota pagada y para Renovaciones mínimo 2 cuotas pagadas
* Importe mínimo S/1.000 y máximo S/150.000 - Para personal Nombrado (DL276) que presenten buró G1 a G4, cuyo financiamiento tenga vencimiento antes que cumpla los 65 años, se podrá atender hasta por el importe máximo de S/ 200,000 (Se exceptúa Fuerzas Armadas)
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
*En el caso de subrogación de Bancos ya no será necesario presentar los cronogramas si las deudas están descontadas en boleta, se sustenta la deuda con el reporte de SBS.","
* Categoría: B
* Validación de antigüedad: En el caso de trabajadores nombrados cuya fecha de ingreso menor a 6 meses, se solicitará boletas de pago, que sustenten actividad mínima requerida- Así mismo se deberá demostrar que laboran en la institución de manera ininterrumpida. Ej: Si la boleta que presenta indica como fecha de inicio febrero 2021, deberá presentar la boleta de enero 2021 donde se verifique su verdadera antigüedad.
* Se condidera ingresos CAFAE/SUBCAFAE: No aplica
* Comentario ingresos CAFAE/SUBCAFAE: No se considera CAFAE
* Caso subrogación Caja: En caso de clientes con prestamos en CAJAS MUNICIPALES, no será necesario solicitar cronograma, SIEMPRE QUE: - El descuento de la entidad figure en la boleta de pago. - Se deberá adjuntar al expediente el correo de evidencia del JDN o JDR, el cual incluya el print del 3270 que validen la deuda del cliente en la respectiva caja 
* El concepto de Subcafae en la boleta corresponde a distintas entidades financieras, que canalizan su descuento con ese concepto, el detalle será respondido en la respuesta de la remesa para determinar a que entidad corresponde
* El concepto Cafae-SE/cafae en la boleta corresponde solo al descuento BBVA, ya no es necesario que en la respuesta de la remesa se especifique a que concepto corresponde. 
* No se podrá considerar constancias de no adeudo para deudas de entidades descontadas a través de la boleta de pagos. 
* Antiguedad de Servidor: 0,5 años
* [INFO ADICIONAL]
* Rango Buró permitido: NB - G5
* Edad máxima al finalizar crédito: 65 años
* Endeudamiento máximo (-60años): 60%
* Endeudamiento máximo (+60años): 55,%
* Carretera 1
* RUC: 20495671624
* Código Nuevo: CRC1
* Código Subrogado: CRC2
* Código Nuevo (Sin seguro): CRC3
* Código Subrogado (Sin seguro): CRC4"
24,Contraloría General de la República,Plazo Fijo Indeterminado,No aplica,"G1 - G3: 10.69%
G4 - G5: 10.89%
G6 - OTROS: 11.29%","G1 - G3: 10.79%
G4 - G5: 10.99%
G6 - OTROS: 11.39%",0.5,NB - G5,70,0.45,0.6,0.55,0,0.85,,20,17,72,1,1 boleta,3 boletas,2,,"* El Cliente no debe de tener préstamos judiciales ni préstamos refinanciados en BBVA y Sistema Financiero.
* No se aceptarán voucher de cancelación de deudas cuyo descuento sea a través de la planilla, se deberá sustentar con boleta de pago.
* Buró: Cliente PEP es de NB a G5
* Para Ampliaciones mínimo 1 cuota pagada y para Renovaciones mínimo 2 cuotas pagadas
* Importe mínimo S/1.000 y máximo S/150.000 - Para personal Nombrado (DL276) que presenten buró G1 a G4, cuyo financiamiento tenga vencimiento antes que cumpla los 65 años, se podrá atender hasta por el importe máximo de S/ 200,000 (Se exceptúa Fuerzas Armadas)
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
*En el caso de subrogación de Bancos ya no será necesario presentar los cronogramas si las deudas están descontadas en boleta, se sustenta la deuda con el reporte de SBS.","
* Categoría: B
* Vigencia remesa: Durante el mes que se aprueba
* Se condidera ingresos CAFAE/SUBCAFAE: No aplica
* Caso subrogación Caja: En caso de clientes con prestamos en CAJAS MUNICIPALES, no será necesario solicitar cronograma, SIEMPRE QUE: - El descuento de la entidad figure en la boleta de pago. - Se deberá adjuntar al expediente el correo de evidencia del JDN o JDR, el cual incluya el print del 3270 que validen la deuda del cliente en la respectiva caja 
* Convenio solo se gestionará solo con EJECUTIVOS INTERNOS BANCO, JEFES DE NEGOCIO CONVENIO PROVINCIA. Atención solamente receptiva de la red de Oficinas.
* Antiguedad de Servidor: 0,5 años
* [INFO ADICIONAL]
* Rango Buró permitido: NB - G5
* Edad máxima al finalizar crédito: 70 años
* Endeudamiento máximo (-60años): 60%
* Endeudamiento máximo (+60años): 55,%
* Carretera 3
* RUC: 20131378972
* Código Nuevo: CGR1
* Código Subrogado: CGR2
* Código Nuevo (Sin seguro): CRR9
* Código Subrogado (Sin seguro): CRR0"
25,Contraloría General de la República,CAS indeterminado,No aplica,"G1 - G3: 10.69%
G4 - G5: 10.89%
G6 - OTROS: 11.29%","G1 - G3: 10.79%
G4 - G5: 10.99%
G6 - OTROS: 11.39%",5,NB - G5,65,0.45,0.6,0.55,0,0.85,,20,17,72,1,1 boleta,3 boletas,2,,"* El Cliente no debe de tener préstamos judiciales ni préstamos refinanciados en BBVA y Sistema Financiero.
* No se aceptarán voucher de cancelación de deudas cuyo descuento sea a través de la planilla, se deberá sustentar con boleta de pago.
* Buró: Cliente PEP es de NB a G5
* Para Ampliaciones mínimo 1 cuota pagada y para Renovaciones mínimo 2 cuotas pagadas
* Importe mínimo S/1.000 y máximo S/150.000 - Para personal Nombrado (DL276) que presenten buró G1 a G4, cuyo financiamiento tenga vencimiento antes que cumpla los 65 años, se podrá atender hasta por el importe máximo de S/ 200,000 (Se exceptúa Fuerzas Armadas)
* En el caso de Cooperativas, cuando el descuento en boleta es mayor al cronograma, el diferencial se considerará como facultativo.
*En el caso de subrogación de Bancos ya no será necesario presentar los cronogramas si las deudas están descontadas en boleta, se sustenta la deuda con el reporte de SBS.","
* Categoría: B
* Vigencia remesa: Durante el mes que se aprueba
* Se condidera ingresos CAFAE/SUBCAFAE: No aplica
* Caso subrogación Caja: En caso de clientes con prestamos en CAJAS MUNICIPALES, no será necesario solicitar cronograma, SIEMPRE QUE: - El descuento de la entidad figure en la boleta de pago. - Se deberá adjuntar al expediente el correo de evidencia del JDN o JDR, el cual incluya el print del 3270 que validen la deuda del cliente en la respectiva caja 
* Convenio solo se gestionará solo con EJECUTIVOS INTERNOS BANCO, JEFES DE NEGOCIO CONVENIO PROVINCIA. Atención solamente receptiva de la red de Oficinas.
* Antiguedad de Servidor: 5 años
* [INFO ADICIONAL]
* Rango Buró permitido: NB - G5
* Edad máxima al finalizar crédito: 65 años
* Endeudamiento máximo (-60años): 60%
* Endeudamiento máximo (+60años): 55,%
* Carretera 3
* RUC: 20131378972
* Código Nuevo: CGR3
* Código Subrogado: CGR4
* Código Nuevo (Sin seguro): CRR3
* Código Subrogado (Sin seguro): CRR4"
